from_station,to_station,distance_km,daily_train_count,from_in_rajasthan,to_in_rajasthan
HMO,TIBI,17.0,4,1,1
HNS,MAYR,8.0,3,0,1
HP,SOD,33.0,4,1,1
HP,SEU,20.0,2,1,1
HR,SDLP,14.0,2,1,1
HR,RMB,15.0,2,1,1
HRLI,MWT,20.0,1,0,1
HSI,KRH,8.0,6,1,1
HSI,KNAR,6.0,2,1,1
HSR,SDLP,70.0,20,0,1
HSR,NKN,10.0,2,0,1
HSR,SWNI,30.0,6,0,1
IDG,LKE,11.0,18,1,1
IDG,SWM,36.0,26,1,1
IDG,KOTA,71.0,12,1,1
IRA,PNP,19.0,2,0,1
ISA,SRAS,10.0,4,1,1
ISA,SURL,9.0,4,1,1
JAC,REN,15.0,2,1,1
JBS,RAH,9.0,2,1,1
JCH,SBLT,21.0,1,1,1
JCH,THM,23.0,1,1,1
JDL,JMS,13.0,1,1,1
JES,RSNR,30.0,6,1,1
JES,SOG,26.0,6,1,1
JHW,RMA,11.0,4,1,1
JJN,SIKR,64.0,2,1,1
JJN,LHU,58.0,2,1,0
JJN,NWH,37.0,6,1,1
JJN,NUA,12.0,1,1,1
JJN,RSH,14.0,4,1,1
JKHI,NKN,6.0,2,0,1
JLWC,RMA,26.0,2,0,1
JMS,KNSR,14.0,1,1,1
JNRI,URML,7.0,2,1,1
JNRI,SNAR,23.0,2,1,1
JOB,JP,37.0,10,1,1
JOB,KKU,28.0,2,1,1
JOR,MKSR,33.0,24,1,1
JOR,MON,34.0,24,1,1
JP,SWM,131.0,9,1,1
JP,KSG,109.0,38,1,1
JP,NRI,65.0,2,1,1
JP,RGS,57.0,14,1,1
JP,NAC,90.0,4,1,1
JP,MKN,120.0,6,1,1
JP,KKU,9.0,8,1,1
JP,KMNC,106.0,10,1,1
JP,JU,313.0,2,1,1
JP,KWP,16.0,3,1,1
JSKA,TNJR,3.0,4,0,1
JSM,POK,106.0,9,1,1
JSM,THM,20.0,1,1,1
JU,MTD,104.0,36,1,1
JU,SMR,80.0,6,1,1
JU,PMY,73.0,18,1,1
JU,RKB,3.0,25,1,1
JU,LUNI,32.0,28,1,1
JU,OSN,64.0,2,1,1
JU,PPR,47.0,11,1,1
JU,PLCJ,137.0,2,1,1
JU,NGO,161.0,2,1,1
JU,MJ,104.0,2,1,1
JU,MMY,33.0,2,1,1
JUCT,RKB,6.0,2,1,1
JWB,PDWA,39.0,16,1,0
JWB,NANA,22.0,2,1,1
JWB,PMY,113.0,2,1,1
JWB,MJ,83.0,2,1,1
JWL,KSW,18.0,2,1,1
JWO,NBH,10.0,9,1,1
JWO,NMH,16.0,7,1,0
JYM,ZW,23.0,6,1,1
JYM,SES,21.0,6,1,1
KAWT,NMK,21.0,5,1,1
KAWT,SMPR,16.0,5,1,1
KESR,SGNR,25.0,6,1,1
KESR,SRW,23.0,6,1,1
KIN,MVJ,37.0,6,1,1
KJW,MTD,23.0,2,1,1
KJW,MDW,17.0,2,1,1
KKDE,PNP,68.0,6,0,1
KL,NBI,17.0,18,1,1
